"Palta", 1145.69, 464
"Lima", 1354.53, 232
"Limon", 332.60, 651
"TomCherry", 534.26, 210
"Repollo", 4.35, 623
"Brocoli", 364.14, 412
"Sandia", 57.68, 810
"Banana", 61.84, 1190
"Morron", 3016.25, 558
"Zanahoria", 34.54, 558
"Banana", 73.81, 1040
"Mandarina", 11.47, 970
"Pera", 125.20, 1190
"Lima", 1381.89, 194
"Zuccini", 66.77, 546
"Frambuesa", 2108.99, 102
"Pepino", 32.66, 445
"Morron", 2959.38, 708
"TomCherry", 568.74, 176
"Lechuga", 51.51, 747
"Choclo", 62.79, 303
"Uva", 687.79, 318
"Manzana", 143.89, 1140
"Sandia", 53.59, 801
"Caqui", 840.82, 115
"TomCherry", 576.52, 190
"Alcachofa", 123.38, 306
"Zuccini", 61.06, 720
"Sandia", 58.38, 783
"Papa", 13.94, 930
"Brocoli", 356.63, 460
"Calabaza", 23.78, 808
"Limon", 315.74, 672
"Naranja", 4.63, 1010
"Higo", 2478.51, 98
"Durazno", 153.75, 952
"Frambuesa", 2112.41, 103
"Calabaza", 21.01, 848
"Naranja", 16.94, 1030
"Naranja", 16.28, 890
"Pepino", 31.46, 405
"Tomate", 748.66, 810
"Cebolla", 70.44, 792
"Calabaza", 19.59, 928
"TomCherry", 576.16, 160
"Naranja", 9.36, 980
"Lima", 1070.50, 216
"Repollo", 3.97, 693
"Uva", 640.06, 249
"Sandia", 38.52, 873
"Uva", 717.99, 279
"Palta", 1144.30, 432
"Manzana", 141.34, 1010
"Higo", 2475.97, 100
"Batata", 23.39, 870
"Lima", 1248.31, 212
"Pera", 137.07, 830
"Papa", 16.17, 1110
"TomCherry", 547.87, 188
"Zanahoria", 27.86, 492
"Naranja", 17.58, 890
"Ajo", 897.52, 105
"Papa", 16.02, 1070
"Tomate", 744.65, 945
"Zanahoria", 35.22, 636
"TomCherry", 570.13, 228
"Kinoto", 37.46, 240
"Coliflor", 36.40, 580
"TomCherry", 553.30, 170
"Papa", 16.10, 920
"Pomelo", 27.86, 828
"Limon", 333.18, 658
"Zanahoria", 38.87, 708
"Mandarina", 19.25, 1080
"Zuccini", 101.22, 678
"Lima", 1027.70, 200
"Lima", 1217.27, 224
"Pera", 162.36, 1110
"Berenjena", 57.12, 714
"Calabaza", 21.93, 728
"Higo", 2533.37, 106
"Choclo", 64.43, 336
"Banana", 58.51, 1190
"Pepino", 35.10, 405
"Berenjena", 41.97, 624
"Frambuesa", 2057.91, 95
"Pera", 149.36, 870
"Alcachofa", 164.24, 309
"Zuccini", 87.02, 696
"Pomelo", 45.07, 1071
"Mandarina", 10.41, 930
"Melon", 110.80, 480
"Rabanito", 225.98, 303
"Durazno", 252.78, 768
"Mandarina", 29.68, 840
"Pera", 155.18, 1160
"Uva", 728.21, 348
"Kiwi", 454.16, 436
"Zanahoria", 42.93, 510
"Mandarina", 20.65, 1160
"Papa", 21.07, 810
"Durazno", 141.85, 920
